subcategory,href,category
Escolas de ensino fundamental e médio,https://www.reclameaqui.com.br/segmentos/educacao/escolas-de-ensino-fundamental-e-medio/,Educação
Escolas de Música,https://www.reclameaqui.com.br/segmentos/educacao/escolas-de-musica/,Educação
Materiais Didáticos,https://www.reclameaqui.com.br/segmentos/educacao/materiais-didaticos/,Educação
Treinamentos,https://www.reclameaqui.com.br/segmentos/educacao/treinamentos/,Educação
Universidades e Faculdades,https://www.reclameaqui.com.br/segmentos/educacao/universidade-e-faculdades/,Educação
Acessórios Esporte,https://www.reclameaqui.com.br/segmentos/esportes/acessorios-esporte/,Esportes
Carros Esportivos,https://www.reclameaqui.com.br/segmentos/esportes/carros-esportivos/,Esportes
Clubes e Associações,https://www.reclameaqui.com.br/segmentos/esportes/clubes-e-associacoes/,Esportes
Eventos Esportivos,https://www.reclameaqui.com.br/segmentos/esportes/eventos-esportivos/,Esportes
Produtos e Artigos Esportivos,https://www.reclameaqui.com.br/segmentos/esportes/produtos-e-artigos-esportivos/,Esportes
Sócio Torcedor,https://www.reclameaqui.com.br/segmentos/esportes/socio-torcedor/,Esportes
Times de Futebol,https://www.reclameaqui.com.br/segmentos/esportes/times-de-futebol/,Esportes
Vestuário Esportivo,https://www.reclameaqui.com.br/segmentos/esportes/vestuario-esportivo/,Esportes
Leilões de Arte e Antiguidades,https://www.reclameaqui.com.br/segmentos/leiloes/leiloes-de-arte-e-antiguidades/,Leilões
Leilões de Imóveis,https://www.reclameaqui.com.br/segmentos/leiloes/leiloes-de-imoveis/,Leilões
Leilões de Máquinas e Equipamentos,https://www.reclameaqui.com.br/segmentos/leiloes/leiloes-de-maquinas-e-equipamentos/,Leilões
Leilões de Veículos,https://www.reclameaqui.com.br/segmentos/leiloes/leiloes-de-veiculos/,Leilões
Leilões Judiciais,https://www.reclameaqui.com.br/segmentos/leiloes/leiloes-judiciais/,Leilões
Leilões Online,https://www.reclameaqui.com.br/segmentos/leiloes/leiloes-online/,Leilões
Artesanatos e Produtos Personalizados,https://www.reclameaqui.com.br/segmentos/moveis-e-decoracao/artesanatos-e-produtos-personalizados/,Móveis e Decoração
"Cama, mesa e banho",https://www.reclameaqui.com.br/segmentos/moveis-e-decoracao/cama-mesa-e-banho/,Móveis e Decoração
Colchões,https://www.reclameaqui.com.br/segmentos/moveis-e-decoracao/colchoes/,Móveis e Decoração
Ecommerce - Móveis e Decoração,https://www.reclameaqui.com.br/segmentos/moveis-e-decoracao/ecommerce-moveis-e-decoracao/,Móveis e Decoração
Floriculturas,https://www.reclameaqui.com.br/segmentos/moveis-e-decoracao/floricultura/,Móveis e Decoração
Lojas de Decoração,https://www.reclameaqui.com.br/segmentos/moveis-e-decoracao/lojas-de-decoracao/,Móveis e Decoração
Lojas de Móveis Físicas,https://www.reclameaqui.com.br/segmentos/moveis-e-decoracao/lojas-de-moveis-fisicas/,Móveis e Decoração
Acidentes Pessoais,https://www.reclameaqui.com.br/segmentos/seguradoras/acidentes-pessoais/,Seguradoras
Clube de Benefícios e Vantagens,https://www.reclameaqui.com.br/segmentos/seguradoras/clube-de-beneficios-e-vantagens/,Seguradoras
Corretora de Seguros,https://www.reclameaqui.com.br/segmentos/seguradoras/corretora-de-seguros/,Seguradoras
Ecommerce - Seguradoras,https://www.reclameaqui.com.br/segmentos/seguradoras/ecommerce-seguradoras/,Seguradoras
Insurtech,https://www.reclameaqui.com.br/segmentos/seguradoras/insurtech/,Seguradoras
Seguradoras em Geral,https://www.reclameaqui.com.br/segmentos/seguradoras/seguradoras-em-geral/,Seguradoras
Seguro de Celular,https://www.reclameaqui.com.br/segmentos/seguradoras/seguro-de-celular/,Seguradoras
Seguro de Vida,https://www.reclameaqui.com.br/segmentos/seguradoras/seguro-de-vida/,Seguradoras
Seguro Residencial,https://www.reclameaqui.com.br/segmentos/seguradoras/seguro-residencial/,Seguradoras
Seguro Saúde,https://www.reclameaqui.com.br/segmentos/seguradoras/seguro-saude/,Seguradoras
Seguro Veícular,https://www.reclameaqui.com.br/segmentos/seguradoras/seguro-veicular/,Seguradoras
Seguros Viagem,https://www.reclameaqui.com.br/segmentos/seguradoras/seguro-viagem/,Seguradoras
Associações de Classe,https://www.reclameaqui.com.br/segmentos/sindicatos-associacoes-e-ongs/associacoes-de-classe/,"Sindicatos, Associações e ONGs"
Organizações Não Governamentais (ONGs),https://www.reclameaqui.com.br/segmentos/sindicatos-associacoes-e-ongs/organizacoes-nao-governamentais-ongs/,"Sindicatos, Associações e ONGs"
Sindicatos,https://www.reclameaqui.com.br/segmentos/sindicatos-associacoes-e-ongs/sindicatos/,"Sindicatos, Associações e ONGs"
Sindicatos - Associações - Ongs,https://www.reclameaqui.com.br/segmentos/sindicatos-associacoes-e-ongs/sindicatos-associacoes-ongs/,"Sindicatos, Associações e ONGs"
Atacados,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/atacados/,Supermercados e atacados
Cartão de Crédito para mercado,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/cartao-de-credito-para-mercado/,Supermercados e atacados
Ecommerce - Supermercados e atacados,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/ecommerce-supermercados-e-atacados/,Supermercados e atacados
Hortifrutis,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/hortifrutis/,Supermercados e atacados
Mercadinhos de Bairro,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/mercadinhos-de-bairro/,Supermercados e atacados
Mercados de Condomínio,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/mercados-de-condominio/,Supermercados e atacados
Mercados Express e Lojas de Conveniência,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/mercados-express-e-lojas-de-conveniencia/,Supermercados e atacados
Supermercados,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/supermercados/,Supermercados e atacados
Supermercados E-commerce,https://www.reclameaqui.com.br/segmentos/supermercados-e-atacados/supermercados-e-commerce/,Supermercados e atacados
Agências de viagens,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/agencias-de-viagens/,Turismo e Lazer
Aluguel de Casas de Temporada,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/aluguel-de-casas-de-temporada/,Turismo e Lazer
Atrações Turísticas,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/atracoes-turisticas/,Turismo e Lazer
Clubes de Férias,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/clubes-de-ferias/,Turismo e Lazer
Ecoturismo,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/ecoturismo/,Turismo e Lazer
Eventos culturais e esportivos,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/eventos-culturais-e-esportivos/,Turismo e Lazer
Hotéis e acomodações,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/hoteis-e-acomodacoes/,Turismo e Lazer
Intercâmbios,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/intercambio/,Turismo e Lazer
Operadoras turísticas,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/operadoras-turisticas/,Turismo e Lazer
Shopping Centers,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/shopping-centers/,Turismo e Lazer
Alimentos Diet e Light,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/alimentos-diet-e-light/,Alimentos e Bebidas
Bebidas,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/bebidas/,Alimentos e Bebidas
Bebidas Alcoólicas,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/bebidas-alcoolicas/,Alimentos e Bebidas
Cafeterias,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/cafeterias/,Alimentos e Bebidas
Cafés,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/cafe/,Alimentos e Bebidas
Carnes,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/carnes/,Alimentos e Bebidas
Chocolates,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/chocolates/,Alimentos e Bebidas
Delivery,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/delivery/,Alimentos e Bebidas
Docerias,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/docerias/,Alimentos e Bebidas
Ecommerce - Alimentos e Bebidas,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/ecommerce-alimentos-e-bebidas/,Alimentos e Bebidas
Fabricantes - Rações,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/fabricantes-racoes/,Alimentos e Bebidas
Fabricantes MultiMarcas,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/fabricantes-multimarcas/,Alimentos e Bebidas
"Fast Food, Restaurantes e Bares",https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/fast-food-restaurantes-e-bares/,Alimentos e Bebidas
Laticínios,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/laticinios/,Alimentos e Bebidas
Massas,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/massas/,Alimentos e Bebidas
Mercearia,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/mercearia/,Alimentos e Bebidas
Padarias,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/padarias/,Alimentos e Bebidas
Perecíveis e Congelados,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/pereciveis-e-congelados/,Alimentos e Bebidas
Produtos a Granel,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/produtos-a-granel/,Alimentos e Bebidas
"Pães, Bolachas e Bolos",https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/paes-bolachas-e-bolos/,Alimentos e Bebidas
Sorvetes,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/sorvetes/,Alimentos e Bebidas
Suplementos Alimentares e Fórmulas,https://www.reclameaqui.com.br/segmentos/alimentos-e-bebidas/suplementos-alimentares-e-formulas/,Alimentos e Bebidas
Bancos com Serviços Internacionais,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/bancos-com-servicos-internacionais/,Bancos e Financeiras
Bancos Digitais,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/bancos-digitais/,Bancos e Financeiras
Bancos Tradicionais e Digitais,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/bancos-tradicionais-e-digitais/,Bancos e Financeiras
Capitalização,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/capitalizacao/,Bancos e Financeiras
Cartões de Benefícios,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/cartoes-de-beneficios/,Bancos e Financeiras
Cartões Private Label de Varejo e Mercados,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/cartoes-de-credito/,Bancos e Financeiras
Consultoria e Assessoria de Investimentos,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/consultoria-assessoria-investimentos/,Bancos e Financeiras
Consórcios,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/consorcios/,Bancos e Financeiras
Contabilidade Online,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/contabilidade-online/,Bancos e Financeiras
Cooperativas de crédito,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/cooperativas-de-credito/,Bancos e Financeiras
Corretoras e Bancos de Investimentos,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/corretoras-e-bancos-de-investimentos/,Bancos e Financeiras
Criptomoedas,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/criptomoedas/,Bancos e Financeiras
Empréstimos,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/emprestimo/,Bancos e Financeiras
Financiamentos,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/financiamento/,Bancos e Financeiras
Fintechs,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/fintechs/,Bancos e Financeiras
Forex,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/forex/,Bancos e Financeiras
Meios de pagamento eletrônico,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/meios-de-pagamento-eletronico/,Bancos e Financeiras
Melhores Emissoras e Bandeiras de Cartão de Crédito,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/emissoras-e-bandeiras-cartao-de-credito/,Bancos e Financeiras
Plataformas de Investimento Coletivo,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/plataformas-de-investimento-coletivo/,Bancos e Financeiras
Recuperadoras de Crédito e Cobrança,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/recuperadoras-de-credito-e-cobranca/,Bancos e Financeiras
Softwares e Sites de Investimento,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/softwares-e-sites-de-investimento/,Bancos e Financeiras
Acompanhantes,https://www.reclameaqui.com.br/segmentos/conteudo-sensivel/acompanhantes/,Conteúdo Sensível*
Armas e munições,https://www.reclameaqui.com.br/segmentos/conteudo-sensivel/armas-e-municoes/,Conteúdo Sensível*
Clubes de Assinatura Adultos,https://www.reclameaqui.com.br/segmentos/conteudo-sensivel/clubes-de-assinatura-adultos/,Conteúdo Sensível*
Conteúdo Adulto Online,https://www.reclameaqui.com.br/segmentos/conteudo-sensivel/conteudo-adulto-online/,Conteúdo Sensível*
Ecommerce - Conteúdo Sensivel*,https://www.reclameaqui.com.br/segmentos/conteudo-sensivel/ecommerce-conteudo-sensivel/,Conteúdo Sensível*
Motéis,https://www.reclameaqui.com.br/segmentos/conteudo-sensivel/moteis/,Conteúdo Sensível*
Sex Shop,https://www.reclameaqui.com.br/segmentos/conteudo-sensivel/sex-shop/,Conteúdo Sensível*
Tabacaria e Dispositivos eletrônicos,https://www.reclameaqui.com.br/segmentos/conteudo-sensivel/tabacaria/,Conteúdo Sensível*
Assistência Técnica de Eletroeletrônicos,https://www.reclameaqui.com.br/segmentos/eletroeletronicos/assistencia-tecnica-de-eletroeletronicos/,Eletroeletrônicos
Celulares e Smartphones,https://www.reclameaqui.com.br/segmentos/eletroeletronicos/celulares-e-smartphones/,Eletroeletrônicos
Computadores e Notebooks,https://www.reclameaqui.com.br/segmentos/eletroeletronicos/computadores-e-notebooks/,Eletroeletrônicos
Drones,https://www.reclameaqui.com.br/segmentos/eletroeletronicos/drones/,Eletroeletrônicos
Eletroeletrônicos - Acessórios,https://www.reclameaqui.com.br/segmentos/eletroeletronicos/eletroeletronicos-acessorios/,Eletroeletrônicos
Eletroeletrônicos - E-commerce,https://www.reclameaqui.com.br/segmentos/eletroeletronicos/eletroeletronicos-e-commerce/,Eletroeletrônicos
Eletroeletrônicos - Fabricantes,https://www.reclameaqui.com.br/segmentos/eletroeletronicos/eletroeletronicos-fabricantes/,Eletroeletrônicos
Clubes de Assinatura,https://www.reclameaqui.com.br/segmentos/fidelidade-pontos/clubes-de-assinatura/,Fidelidade - Pontos
Clubes de Benefícios e Descontos,https://www.reclameaqui.com.br/segmentos/fidelidade-pontos/clubes-de-beneficios-e-descontos/,Fidelidade - Pontos
Programas de Cashback,https://www.reclameaqui.com.br/segmentos/fidelidade-pontos/programas-de-cashback/,Fidelidade - Pontos
Programas de fidelidade,https://www.reclameaqui.com.br/segmentos/fidelidade-pontos/programas-de-fidelidade/,Fidelidade - Pontos
Programas de milhas,https://www.reclameaqui.com.br/segmentos/fidelidade-pontos/programas-de-milhas/,Fidelidade - Pontos
Programas de pontos,https://www.reclameaqui.com.br/segmentos/fidelidade-pontos/programas-de-pontos/,Fidelidade - Pontos
Acessórios - Moda,https://www.reclameaqui.com.br/segmentos/moda/acessorios/,Moda
Alfaiataria,https://www.reclameaqui.com.br/segmentos/moda/alfaiataria/,Moda
Aluguéis de Roupas,https://www.reclameaqui.com.br/segmentos/moda/aluguel-de-roupa/,Moda
Bijuterias e Joalherias,https://www.reclameaqui.com.br/segmentos/moda/bijuterias-e-joalherias/,Moda
"Bolsas, Malas e Mochilas",https://www.reclameaqui.com.br/segmentos/moda/bolsas-malas-e-mochilas/,Moda
Brechó,https://www.reclameaqui.com.br/segmentos/moda/brecho/,Moda
E-commerce - Moda,https://www.reclameaqui.com.br/segmentos/moda/e-commerce-moda/,Moda
"Fantasias, Cosplays e Geek",https://www.reclameaqui.com.br/segmentos/moda/fantasias-cosplays-e-geek/,Moda
Lojas de Grife,https://www.reclameaqui.com.br/segmentos/moda/lojas-de-grife/,Moda
Marcas de Calçados,https://www.reclameaqui.com.br/segmentos/moda/marcas-de-calcados/,Moda
Moda Fitness e Esportiva,https://www.reclameaqui.com.br/segmentos/moda/moda-fitness-e-esportiva/,Moda
Moda Infantil,https://www.reclameaqui.com.br/segmentos/moda/moda-infantil/,Moda
Moda Plus Size,https://www.reclameaqui.com.br/segmentos/moda/moda-plus-size/,Moda
Moda Praia e Verão,https://www.reclameaqui.com.br/segmentos/moda/moda-praia-e-verao/,Moda
Outlets,https://www.reclameaqui.com.br/segmentos/moda/outlets/,Moda
Relógios,https://www.reclameaqui.com.br/segmentos/moda/relogios/,Moda
"Roupas íntimas, Pijamas e Meias",https://www.reclameaqui.com.br/segmentos/moda/roupas-intimas-pijamas-e-meias/,Moda
Uniformes,https://www.reclameaqui.com.br/segmentos/moda/uniformes/,Moda
Vestuário e Lojas de Departamento,https://www.reclameaqui.com.br/segmentos/moda/vestuario-e-lojas-de-departamento/,Moda
Óticas,https://www.reclameaqui.com.br/segmentos/moda/oticas/,Moda
Banho e tosa,https://www.reclameaqui.com.br/segmentos/pet/banho-e-tosa/,PET
Clínicas Veterinárias,https://www.reclameaqui.com.br/segmentos/pet/clinicas-veterinarias/,PET
Creches - cães e gatos,https://www.reclameaqui.com.br/segmentos/pet/creches-caes-e-gatos/,PET
Pet E-commerce,https://www.reclameaqui.com.br/segmentos/pet/pet-e-commerce/,PET
Pet sitter,https://www.reclameaqui.com.br/segmentos/pet/pet-sitter/,PET
PetHotel,https://www.reclameaqui.com.br/segmentos/pet/pethotel/,PET
Petshop,https://www.reclameaqui.com.br/segmentos/pet/petshop/,PET
Planos de Saúde para Pets,https://www.reclameaqui.com.br/segmentos/pet/planos-de-saude-para-pets/,PET
Rações e alimentos,https://www.reclameaqui.com.br/segmentos/pet/racoes-e-alimentos/,PET
Transporte de Animais,https://www.reclameaqui.com.br/segmentos/pet/transporte-de-animais/,PET
Advogados,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/advogados/,Serviços Essenciais
Assistência social,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/assistencia-social/,Serviços Essenciais
Cartórios e Tabelião,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/cartorios-e-tabeliao/,Serviços Essenciais
Cidadanias,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/cidadanias/,Serviços Essenciais
Consultorias,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/consultorias/,Serviços Essenciais
Energia elétrica,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/energia-eletrica/,Serviços Essenciais
Gás,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/gas/,Serviços Essenciais
Lavanderias,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/lavanderias/,Serviços Essenciais
Limpeza urbana,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/limpeza-urbana/,Serviços Essenciais
Saneamento Básico,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/saneamento-basico/,Serviços Essenciais
Segurança pública,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/seguranca-publica/,Serviços Essenciais
Serviços funerário,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/servico-funerario/,Serviços Essenciais
Água e saneamento,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/agua-e-saneamento/,Serviços Essenciais
Órgãos públicos,https://www.reclameaqui.com.br/segmentos/servicos-essenciais/orgaos-publicos/,Serviços Essenciais
Buscadores e Comparadores,https://www.reclameaqui.com.br/segmentos/sites-e-portais/buscadores-e-comparadores/,Sites e portais
Desenvolvimento Pessoal e Financeiro,https://www.reclameaqui.com.br/segmentos/sites-e-portais/desenvolvimento-pessoal-e-financeiro/,Sites e portais
Mídia e Conteúdo Online,https://www.reclameaqui.com.br/segmentos/sites-e-portais/midia-e-conteudo-online/,Sites e portais
Redes Profissionais,https://www.reclameaqui.com.br/segmentos/sites-e-portais/redes-profissionais/,Sites e portais
Redes Sociais,https://www.reclameaqui.com.br/segmentos/sites-e-portais/redes-sociais/,Sites e portais
Serviços de Consultas e Informações,https://www.reclameaqui.com.br/segmentos/sites-e-portais/servicos-de-consultas-e-informacoes/,Sites e portais
Tecnologia e Software,https://www.reclameaqui.com.br/segmentos/sites-e-portais/tecnologia-e-software/,Sites e portais
Emissoras de TV,https://www.reclameaqui.com.br/segmentos/telefonia-tv-e-internet/emissoras-de-tv/,"Telefonia, TV e Internet"
Hosts,https://www.reclameaqui.com.br/segmentos/telefonia-tv-e-internet/hosts/,"Telefonia, TV e Internet"
Planos de Celular,https://www.reclameaqui.com.br/segmentos/telefonia-tv-e-internet/planos-de-celular/,"Telefonia, TV e Internet"
Planos de Internet,https://www.reclameaqui.com.br/segmentos/telefonia-tv-e-internet/planos-de-internet/,"Telefonia, TV e Internet"
Planos de TV e Streaming,https://www.reclameaqui.com.br/segmentos/telefonia-tv-e-internet/planos-de-tv-e-streaming/,"Telefonia, TV e Internet"
Agregadores de Cupons e Ofertas,https://www.reclameaqui.com.br/segmentos/varejo/agregadores-de-cupons-e-ofertas/,Varejo
